[2022-09-13 09:11:59,507] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:656 using query: LIMK2 G574Rfs*12
[2022-09-13 09:11:59,627] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:657 using query: LIMK2 C582Lfs*4
[2022-09-13 09:11:59,734] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:658 using query: LIMK2 G684Tfs*16
[2022-09-13 09:11:59,735] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:659: MLH1
[2022-09-13 09:11:59,735] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:660: MLH3
[2022-09-13 09:12:03,395] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:662 using query: MRE11 H356Tfs*34
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:663 using query: MRE11 L7fs*18
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:664: MSH2
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:666: MSH6
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:668: NF1
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:669: PALB2
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:676: PALB2
[2022-09-13 09:12:03,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:677: PMS2
[2022-09-13 09:12:03,696] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:678 using query: POLE2 L469Ffs*17
[2022-09-13 09:12:03,912] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:679 using query: POT1 D617Efs*9
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:681 using query: POT1 N75Kfs*16
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:682: RAD51C
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:688: RAD51D
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:694: RB1
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:695: TP53
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:696: AR Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:700: ARID1A Deletion
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:701: AURKA Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:703: AURKB Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:704: BRAF Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:706: BRCA2 Deletion
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:707: CCND1 Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:708: CCND1 Amplification
[2022-09-13 09:12:04,355] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:709: CCNE1 Amplification
