SAMPLE_ID	mutations	gistic	structural_variants
OS-54-SJ	WXS	WXS	WXS
OS-55	WXS	WXS	WXS
OS-55-SBX	WXS	WXS	WXS
OS-56	WXS	WXS	NA
OS-56-TTX	WXS	WXS	WXS
OS-60	WXS	WXS	WXS
OS-9	WXS	WXS	WXS
NCH-CA-1	WXS	WXS	WXS
NCH-CA-2	WXS	WXS	WXS
ALL-08	WXS	WXS	WXS
ALL-121	WXS	WXS	WXS
ALL-16	WXS	WXS	WXS
ALL-27	WXS	WXS	WXS
ALL-29	WXS	WXS	WXS
ALL-30	WXS	WXS	WXS
ALL-31	WXS	WXS	WXS
ALL-32	WXS	WXS	WXS
ALL-33	WXS	WXS	WXS
ALL-39	WXS	WXS	WXS
ALL-42	WXS	WXS	WXS
ALL-43	WXS	WXS	WXS
ALL-46	WXS	WXS	WXS
ALL-47	WXS	WXS	WXS
ALL-80	WXS	WXS	WXS
ALL-81	WXS	WXS	WXS
ALL-85	WXS	WXS	WXS
ALL-90	WXS	WXS	WXS
ALL-97	WXS	WXS	WXS
KT-10	WXS	WXS	WXS
KT-11	WXS	WXS	WXS
KT-13	WXS	WXS	WXS
KT-18	WXS	WXS	WXS
KT-5	WXS	NA	NA
KT-6	WXS	WXS	WXS
KT-8	WXS	WXS	WXS
KT-9	WXS	WXS	WXS
NCH-WT-4	WXS	WXS	WXS
NCH-WT-5	WXS	WXS	WXS
NCH-WT-6-S13-1506	WXS	WXS	WXS
NCH-WT-7	WXS	WXS	WXS
NCH-WT-8-S13-3700	WXS	WXS	WXS
