Hugo_Symbol	TARGET-20-PABLDZ-04	TARGET-20-PADYIR-04	TARGET-20-PAECCE-04	TARGET-20-PAEDKB-04	TARGET-20-PAEERJ-04	TARGET-20-PAEFGT-04	TARGET-20-PAEGNK-04	TARGET-20-PAEIKD-04	TARGET-20-PAKERZ-04	TARGET-20-PAKIWK-04	TARGET-20-PAKTCX-04	TARGET-20-PALGKX-04	TARGET-20-PAMYAS-04	TARGET-20-PANLIZ-04	TARGET-20-PAPXRJ-04	TARGET-20-PARBIU-04	TARGET-20-PARCVS-04	TARGET-20-PARDDY-04	TARGET-20-PARFAL-04	TARGET-20-PARGDB-04	TARGET-20-PARLVL-04	TARGET-20-PARUBT-40	TARGET-20-PARUNX-04	TARGET-20-PARYFN-04	TARGET-20-PARYVW-04	TARGET-20-PASBBE-04	TARGET-20-PASCGR-04	TARGET-20-PASCRZ-04	TARGET-20-PASGWH-04	TARGET-20-PASGZS-04	TARGET-20-PASHYZ-04	TARGET-20-PASINN-04	TARGET-20-PASJGZ-04	TARGET-20-PASMYS-04	TARGET-20-PASPLU-04	TARGET-20-PASTUH-04	TARGET-20-PASVVS-04	TARGET-20-PASVYA-04	TARGET-20-PASWAJ-04	TARGET-20-PASXNR-04	TARGET-20-PASYJI-04	TARGET-20-PATDNN-04	TARGET-20-PATIAK-04	TARGET-20-PATJHJ-40
hsa-mir-187	0.000000	0.000000	0.000000	0.544730	0.740546	0.198207	0.067129	5.625578	0.913060	0.607584	6.200591	0.000000	0.381462	0.259401	0.092317	1.816187	0.000000	0.303268	0.000000	0.141060	0.519788	0.382633	0.062229	2.074119	0.199544	1.672722	3.316834	0.338504	0.237163	0.535366	1.038055	0.225884	10.399589	0.000000	1.303123	0.000000	1.128146	0.000000	7.519150	4.678129	0.000000	24.079046	0.000000	0.000000
hsa-mir-188	1.751745	0.000000	4.892049	1.198406	2.760217	2.279379	0.537029	6.525670	1.304372	2.430334	1.771597	0.000000	0.000000	0.259401	2.123286	0.279413	0.530171	3.639214	1.088813	3.244380	1.039576	3.061066	2.240246	1.814854	1.396806	0.334544	5.528057	0.338504	1.541561	4.952138	2.076110	2.032954	2.042776	0.000000	3.909369	0.000000	4.153630	1.082464	3.759575	1.830572	1.075942	4.167527	0.000000	0.786776
hsa-mir-18a	73.719270	119.697198	60.335268	59.375565	55.069701	81.562132	58.670417	156.278550	150.263646	501.256483	118.401759	239.692778	75.529421	131.386581	46.158394	60.353276	43.650735	71.722839	53.654283	193.534317	23.910239	137.365318	68.203044	106.817109	95.980512	40.145340	186.848311	119.999682	130.914126	111.222348	148.441879	156.085705	90.346433	82.904644	90.660127	67.242958	93.328471	101.751644	41.981923	220.482274	121.581463	205.598008	64.677718	64.122259
hsa-mir-18b	3.065554	2.156706	17.937512	3.159434	0.269289	3.666827	0.671286	1.012604	4.826176	28.556430	2.362130	9.518486	2.670232	1.167304	1.846336	3.352960	0.176724	4.852285	4.839169	1.692720	0.000000	3.826332	4.480492	1.296324	15.125411	0.334544	25.429060	1.861772	0.474327	6.290554	5.190275	3.840025	3.621286	0.000000	0.372321	16.203122	0.820470	9.742179	3.759575	2.237366	4.303769	12.965640	0.000000	4.720657
hsa-mir-1908	0.000000	0.000000	1.630683	0.000000	0.067322	0.000000	0.000000	0.000000	0.130437	1.215167	0.295266	0.000000	0.000000	0.000000	0.184634	0.419120	0.000000	0.000000	0.181469	0.141060	1.559363	0.000000	0.062229	0.000000	0.638540	0.000000	6.633668	0.169252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.279241	1.620312	0.102559	1.082464	1.253192	0.203397	0.000000	4.167527	0.000000	0.786776
hsa-mir-1909	0.000000	0.000000	0.000000	0.217892	0.067322	0.198207	0.000000	0.562558	0.260874	0.000000	1.771597	0.000000	0.000000	0.518802	0.092317	0.000000	0.353447	0.151634	1.270282	1.692720	0.000000	0.382633	0.497832	0.259265	0.000000	0.000000	0.000000	0.000000	0.000000	0.401525	1.038055	0.000000	0.185707	0.000000	0.186160	0.000000	0.102559	2.164929	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-190a	19.853110	0.000000	0.000000	29.851202	0.942513	1.288345	0.335643	4.162928	1.565246	1.822751	5.314792	0.865317	0.000000	1.037604	6.462175	0.000000	0.530171	7.581695	21.957728	4.372860	0.519788	4.974232	1.742414	2.333383	2.873429	0.000000	2.211223	4.908309	3.676031	0.803049	0.000000	4.743560	8.542520	0.000000	0.837722	0.000000	2.820366	0.000000	0.000000	2.237366	0.000000	0.000000	0.000000	0.393388
hsa-mir-190b	0.875873	4.313413	8.153415	1.525244	0.471257	0.396414	5.840190	0.225023	0.652186	1.822751	2.952662	77.878520	1.525847	7.522628	0.738534	1.536773	4.418091	1.819607	1.512240	1.551660	2.598939	4.208965	0.124458	6.740886	0.159635	2.007267	23.217837	4.400553	0.474327	0.936891	40.484149	1.129419	3.064165	64.791025	2.047765	0.810156	0.512794	0.000000	6.265959	2.644160	10.759421	5.093644	3.633580	1.180164
hsa-mir-191	2566.452448	15587.594625	20996.673407	1787.694768	2836.493547	2644.773527	2449.120699	8928.466954	4685.695279	3280.343941	2559.958238	12690.737475	11679.595040	5144.180236	2203.509404	20172.942872	6875.432642	3187.799657	2535.119511	10727.330741	4215.479073	3239.372650	1744.342632	3392.221018	2218.646399	7272.997341	6151.621324	3104.589793	2549.979491	8683.105981	11154.940104	4931.946859	4057.975482	10363.777219	3788.271558	6479.628624	8838.206173	23536.021164	13996.271755	5648.332806	9151.963917	39291.909348	10860.042869	13210.758850
hsa-mir-1910	0.145979	0.000000	3.261366	0.108946	0.471257	0.000000	0.537029	2.925300	0.391312	0.607584	1.771597	6.057218	2.288770	1.297005	0.553901	17.603039	0.000000	0.606536	0.302448	1.269540	0.000000	0.765266	0.000000	0.777794	0.000000	0.000000	1.105611	0.169252	0.237163	0.535366	8.304441	0.677651	0.835681	6.270099	1.023882	2.430468	1.179426	2.164929	0.626596	1.016985	5.379711	2.315293	2.180148	18.489240
