Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-mir-410	0.496508	75.121233	26.828696	9.273314	198.794288	104.442884	303.514436	202.733604	166.456037	879.265652	443.208739	229.226899	4289.521482	29.151685	366.468799	501.158256	666.487944	156.650516	173.791432	431.317754	485.674089	2154.273443	389.411706	793.237890	240.104806	176.809292	281.646530	1090.466928	906.900878	575.641588	2088.588863	1201.106376	150.716317	276.023527	308.029028	825.199935	72.318396	471.361595	997.563937	189.959068	1435.233883	803.730217	26.929380
hsa-mir-411	0.406234	62.007184	4.692014	3.494292	141.369467	45.808283	115.580213	154.821951	42.319331	135.848009	248.969027	125.276725	690.660488	11.158540	62.551613	188.044597	496.417355	157.394952	55.867506	167.721333	107.376468	714.796509	355.304300	268.998358	103.282681	109.903268	212.138419	293.826003	238.162012	125.564879	791.899432	367.564258	154.431827	62.877412	81.279024	126.749551	28.424964	237.888006	209.418231	221.291679	325.560779	321.404677	16.899560
hsa-mir-412	0.000000	7.076638	5.413862	0.268792	30.382950	14.353262	174.367847	101.630778	3.448242	206.106732	54.838993	19.582871	156.379963	7.113569	60.270096	33.163588	29.403880	129.106400	33.369962	24.509421	63.273025	56.464508	24.281762	16.969523	73.347943	7.712510	86.149715	233.967084	37.531704	145.024717	587.715927	14.771632	4.191857	66.339824	7.696877	139.062365	1.586510	94.419466	83.585303	86.880504	93.734922	184.346604	10.167215
hsa-mir-421	13.405720	5.295107	4.511552	12.902002	17.540672	23.514918	7.448207	9.107174	8.934081	5.646760	15.025884	10.998599	22.703740	14.645583	15.875561	21.344649	6.897206	3.828526	12.545099	37.965574	17.694999	5.993439	8.018629	12.849350	12.224657	15.617833	11.598693	14.779980	12.885309	10.762704	22.459106	13.045078	4.191857	13.849650	14.162254	4.949268	27.367290	19.251761	27.558451	4.908503	7.572978	9.527634	13.464690
hsa-mir-422a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137395
hsa-mir-423	323.587901	336.461966	346.186424	297.552410	299.757563	302.029276	249.780943	284.830155	349.996544	160.606879	279.459507	262.088567	486.114648	356.375857	243.361900	397.963050	314.730418	319.575561	249.898364	583.900915	309.394369	310.922812	368.969850	197.139763	339.626054	505.940657	143.638890	329.889155	258.743914	220.581073	335.914799	230.207259	269.517358	259.680940	258.307201	168.033691	288.215909	316.611768	496.182115	178.505894	198.674760	267.560434	320.404666
hsa-mir-424	145.657436	1302.299323	114.773883	145.147517	475.059878	168.879868	202.165619	317.299208	171.785138	103.270549	387.053611	252.565390	65.777189	253.019884	179.479401	302.529535	399.130444	197.594473	254.749135	136.003258	168.370592	109.353982	235.363688	1517.270854	226.939791	920.488071	78.921543	456.996983	589.092093	526.937635	160.237082	290.828504	34.487552	155.254578	218.129502	482.372578	224.623316	229.672286	94.504689	50.148539	1471.398717	512.656631	142.615799
hsa-mir-425	153.736978	204.331734	208.193087	201.324982	176.972856	287.981403	344.878586	228.735245	168.336896	455.107120	413.815039	354.101237	814.788410	428.766882	630.554486	299.177896	483.167459	288.841006	287.617294	301.321707	312.209482	279.483542	545.266739	364.181318	202.647203	371.742983	177.342339	380.141087	335.709851	501.498516	402.212351	309.245085	330.204017	347.210729	270.160392	423.464215	410.905984	180.623213	328.621531	63.565114	217.298104	362.399726	288.529073
hsa-mir-4251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-4252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
