Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-mir-589	4.5037	3.399	2.1474	-0.0793	-0.583	-0.0342	-0.4293	-0.2767	-0.4609	-0.5373	-0.6149	-0.3257	0.5359	0.1391	-0.4265	0.0051	-0.0089	-0.5093	-0.2336	0.6849	-0.1196	-0.5574	-0.3939	-0.4864	0.4305	-0.2511	-0.591	-0.2187	-0.3971	-0.3098	-0.2648	-0.3183	-0.4787	-0.1833	-0.0919	-0.5638	-0.2237	-0.3482	-0.4104	-0.369	-0.6125	-0.5424	0.4062
hsa-mir-590	0.8235	1.4088	0.4716	0.4069	1.076	-0.2658	0.7277	0.3928	0.7913	-0.4828	-0.3501	-0.9787	1.303	1.1234	-0.3914	0.9861	1.2856	-0.7258	-0.3115	0.1449	-0.3542	-1.9444	0.6258	-0.5542	1.1902	1.224	-0.7595	-0.2568	-1.1132	0.0467	0.4534	0.0275	-1.4441	-2.366	0.0873	-1.7336	0.2085	0.8136	0.4773	-1.7216	-1.8271	0.0108	1.474
hsa-mir-591	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-592	-0.5781	-0.5347	-0.5816	-0.2522	0.3016	-0.4609	0.1229	0.0967	-0.3586	1.0496	0.0167	-0.3165	-0.5313	-0.5596	-0.3336	-0.0517	-0.3664	-0.3378	-0.4362	-0.5816	-0.2637	-0.274	0.1148	0.3846	1.5744	-0.5664	-0.5152	1.4399	-0.5133	-0.3925	-0.0353	-0.5513	-0.1372	-0.4174	-0.4234	-0.5244	-0.3726	-0.3586	0.2611	-0.0577	-0.3495	5.4928	1.1781
hsa-mir-593	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-595	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-596	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	6.4807	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543
hsa-mir-597	0.0255	-0.6115	0.0676	0.9058	-0.3168	-0.6115	-0.6115	-0.6115	-0.6115	0.308	0.9363	-0.6115	-0.6115	0.1759	1.2667	-0.6115	-0.6115	-0.0112	-0.1394	0.7449	-0.6115	0.2788	0.3448	0.1769	5.5816	1.0211	0.1002	-0.6115	-0.3674	-0.6115	-0.002	-0.6115	-0.6115	-0.6115	-0.6115	-0.2708	0.1348	-0.2654	-0.2446	-0.1497	-0.1753	-0.1181	-0.2237
hsa-mir-598	-1.5077	0.0337	0.2565	-0.4861	0.0449	2.1062	-0.0111	-0.0048	-0.635	-0.8778	0.1555	-0.6444	1.2441	0.0745	1.0469	0.4472	-0.3458	0.0072	0.1509	1.733	-0.1074	0.3268	0.0432	0.5084	0.8501	-1.3443	-0.4735	-0.7248	-1.2551	-0.0954	3.2136	-0.2407	-1.1457	-0.6782	0.3459	-1.2748	-0.5324	0.3002	2.4534	-0.7046	-1.3985	-0.3203	-0.534
hsa-mir-599	-0.1728	-0.1761	6.4762	-0.1473	-0.1686	-0.1761	-0.1002	-0.1666	-0.1649	-0.1761	-0.1761	-0.1761	-0.1761	-0.1761	-0.1489	-0.1761	-0.1631	-0.1457	-0.0925	-0.1589	-0.1665	-0.1686	-0.1599	-0.1661	-0.1761	-0.1761	-0.1641	-0.155	-0.1267	-0.1528	-0.1761	-0.1487	-0.1761	-0.1365	-0.1761	-0.1761	-0.1383	-0.1411	-0.1111	-0.1761	0.05	-0.1636	-0.1565
